"Energieverbruik particuliere woningen; woningtype en regio's"
""
"";"";"";"Onderwerp"
"";"";"";"Gemiddeld aardgasverbruik";"Gemiddelde elektriciteitslevering";"Gemiddelde netto elektriciteitslevering";"Stadsverwarming"
"Woningkenmerken";"Regio's";"Perioden";"m3";"kWh";"kWh";"%"
"Vrijstaande woning";"Zevenaar";"2021";"1990";"4160";"3190";"."
"Vrijstaande woning";"Zevenaar";"2022";"1530";"3960";"2680";"."
"Vrijstaande woning";"Zevenaar";"2023*";"1220";"3880";"2260";"."
"Eigen woning";"Nederland";"2020";"1300";"3230";"";"."
"Eigen woning";"Nederland";"2021";"1470";"3300";"2820";"."
"Eigen woning";"Nederland";"2022";"1130";"3080";"2430";"."
"Eigen woning";"Nederland";"2023*";"950";"2930";"2050";"."
"Eigen woning";"Zuid-Holland (PV)";"2020";"1120";"3110";"";"."
"Eigen woning";"Zuid-Holland (PV)";"2021";"1270";"3180";"2860";"."
"Eigen woning";"Zuid-Holland (PV)";"2022";"970";"2960";"2500";"."
"Eigen woning";"Zuid-Holland (PV)";"2023*";"830";"2780";"2140";"."
"Eigen woning";"Limburg (PV)";"2020";"1460";"3350";"";"."
"Eigen woning";"Limburg (PV)";"2021";"1660";"3410";"2690";"."
"Eigen woning";"Limburg (PV)";"2022";"1290";"3210";"2320";"."
"Eigen woning";"Limburg (PV)";"2023*";"1040";"3100";"1930";"."
"Eigen woning";"Achtkarspelen";"2020";"1610";"3150";"";"."
"Eigen woning";"Achtkarspelen";"2021";"1800";"3250";"2670";"."
"Eigen woning";"Achtkarspelen";"2022";"1390";"3050";"2260";"."
"Eigen woning";"Achtkarspelen";"2023*";"1120";"2980";"1870";"."
"Eigen woning";"Amsterdam";"2020";"860";"2570";"";"."
"Eigen woning";"Amsterdam";"2021";"980";"2640";"2530";"."
"Eigen woning";"Amsterdam";"2022";"770";"2460";"2320";"."
"Eigen woning";"Amsterdam";"2023*";"690";"2330";"2140";"."
"Eigen woning";"Borne";"2020";"1380";"3390";"";"."
"Eigen woning";"Borne";"2021";"1650";"3460";"2790";"."
"Eigen woning";"Borne";"2022";"1270";"3240";"2290";"."
"Eigen woning";"Borne";"2023*";"1040";"3110";"1840";"."
"Eigen woning";"'s-Gravenhage (gemeente)";"2020";"1100";"2810";"";"."
"Eigen woning";"'s-Gravenhage (gemeente)";"2021";"1260";"2910";"2750";"."
"Eigen woning";"'s-Gravenhage (gemeente)";"2022";"990";"2720";"2510";"."
"Eigen woning";"'s-Gravenhage (gemeente)";"2023*";"850";"2550";"2250";"."
"Eigen woning";"Zevenaar";"2020";"1330";"3330";"";"."
"Eigen woning";"Zevenaar";"2021";"1500";"3350";"2670";"."
"Eigen woning";"Zevenaar";"2022";"1150";"3150";"2270";"."
"Eigen woning";"Zevenaar";"2023*";"930";"3040";"1900";"."
"Huurwoning";"Nederland";"2020";"870";"2110";"";"."
"Huurwoning";"Nederland";"2021";"970";"2140";"2030";"."
"Huurwoning";"Nederland";"2022";"760";"2020";"1880";"."
"Huurwoning";"Nederland";"2023*";"660";"1910";"1740";"."
"Huurwoning";"Zuid-Holland (PV)";"2020";"810";"2080";"";"."
"Huurwoning";"Zuid-Holland (PV)";"2021";"900";"2120";"2060";"."
"Huurwoning";"Zuid-Holland (PV)";"2022";"710";"2010";"1930";"."
"Huurwoning";"Zuid-Holland (PV)";"2023*";"620";"1900";"1800";"."
"Huurwoning";"Limburg (PV)";"2020";"960";"2200";"";"."
"Huurwoning";"Limburg (PV)";"2021";"1070";"2220";"2090";"."
"Huurwoning";"Limburg (PV)";"2022";"850";"2120";"1950";"."
"Huurwoning";"Limburg (PV)";"2023*";"730";"2010";"1800";"."
"Huurwoning";"Achtkarspelen";"2020";"1200";"2090";"";"."
"Huurwoning";"Achtkarspelen";"2021";"1330";"2120";"2000";"."
"Huurwoning";"Achtkarspelen";"2022";"1040";"2010";"1850";"."
"Huurwoning";"Achtkarspelen";"2023*";"880";"1890";"1700";"."
"Huurwoning";"Amsterdam";"2020";"740";"1890";"";"."
"Huurwoning";"Amsterdam";"2021";"830";"1920";"1900";"."
"Huurwoning";"Amsterdam";"2022";"650";"1800";"1770";"."
"Huurwoning";"Amsterdam";"2023*";"560";"1690";"1650";"."
"Huurwoning";"Borne";"2020";"890";"2260";"";"."
"Huurwoning";"Borne";"2021";"1060";"2260";"2100";"."
"Huurwoning";"Borne";"2022";"840";"2130";"1890";"."
"Huurwoning";"Borne";"2023*";"730";"1990";"1700";"."
"Huurwoning";"'s-Gravenhage (gemeente)";"2020";"830";"1980";"";"."
"Huurwoning";"'s-Gravenhage (gemeente)";"2021";"930";"2030";"2010";"."
"Huurwoning";"'s-Gravenhage (gemeente)";"2022";"740";"1920";"1900";"."
"Huurwoning";"'s-Gravenhage (gemeente)";"2023*";"650";"1830";"1800";"."
"Huurwoning";"Zevenaar";"2020";"920";"2350";"";"."
"Huurwoning";"Zevenaar";"2021";"1030";"2360";"2280";"."
"Huurwoning";"Zevenaar";"2022";"830";"2260";"2160";"."
"Huurwoning";"Zevenaar";"2023*";"720";"2150";"2020";"."
"Bron: CBS"
